Item Name,Description,Qty,Unit Price,Orders Required,Link
MG996R Servo,High torque servos,20,$150.00,1,https://torqpro.com/product/mg996r-x-20-pcs-2/
Pimoroni Servo 2040,Servo controller,1,$29.95,1,https://www.adafruit.com/product/5437#description
OVONIC 3s 11.1V Lipo Battery 8000mAh,Battery,2,$62.99,1,https://www.amazon.com/OVONIC-8000mAh-Battery-Airplane-Helicopter/dp/B07CVDLM5R/ref=sr_1_1_sspa?crid=33E3284P9V3LZ&dib=eyJ2IjoiMSJ9.U22dkGm0qS-VWL1LHB1KFlHYihf6Y08jLr6m3D2d_nt5e2Xv1p-l7foi28RolcZ6uqBV3uN2q4oEGrZ9kht1TN2rx07cqUiNsmLX_JQcODjfqL-XHkGjY_4nPPgR4i3KKfstPE72ZacfED596qL1GxyjnCyUBIdJI8EtyuueRLLxt09VCTuegmmNEz88AQc5KfC0TJjg6RaBnDSXW3akuxkh_2GU--wwGyvtT6TDRcJxUHpv4xbOwylaDyXEQS7vC8urWL6KdT59qf-qdLbSCvMrOUFDBz05kDjjrmo2yl4.SJsISYmGC62uF-RxEYb6tLvy5aGvys_ZpB0VLxWCCl0&dib_tag=se&keywords=OVONIC+3s+11.1V+Lipo+Battery+8000mAh+50C+Max+to+80C&nsdOptOutParam=true&qid=1764190353&sprefix=ovonic+3s+11.1v+lipo+battery+8000mah+50c+max+to+80c%2Caps%2C70&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
5A DC-DC Adjustable Buck Converter,Buck converter,4,$9.99,1,https://www.amazon.com/Adjustable-Converter-1-25-36v-Efficiency-Regulator/dp/B079N9BFZC/ref=sr_1_5?crid=2NDOAJ3JM6BOZ&dib=eyJ2IjoiMSJ9.97gXm2htQ5mx5VBQEhm1FFDxAZl4HQSv3TTSk7Llmq7PlvdXvoNorsqqpGo58aFmr2GRzmgptg7hVT9KS9GBwN8t-XeZvFzP1xbguwDjBqrOa8GyCIdj0VDjTpeCjyqM0WxE12torgWeeYe1CUc5HeyjKPdvn3geccfsQVcf4ZgweoeNX_qtcvrWSz269QPcSHXwvLPuo4Nj8S_uhLuiP411G52YiIri9xBseKpgz3k.yZYPdzSFofANR340d5YFgTW42p9Ykw-H2tEsHgWwZOs&dib_tag=se&keywords=5PCS+DC-DC+5A+4-38V+Input+to+1.25-36V+Output+Adjustable+Step-Down+Regulator+Module&nsdOptOutParam=true&qid=1764190532&sprefix=5pcs+dc-dc+5a+4-38v+input+to+1.25-36v+output+adjustable+step-down+regulator+module%2Caps%2C123&sr=8-5
2Pcs Thin Film Pressure Sensor 20g-2Kg,Force Sensitive Resistor,2,$8.92,3,https://www.amazon.com/Pressure-Precise-Force-Sensitive-Resistor-Resistance-type/dp/B07T1CHY58/ref=sr_1_9?dib=eyJ2IjoiMSJ9.epoIOAzMEMj9pnC_mKwhfjXgECS4VGq9TYBWBHsNMDl4bmVWk2psVC-MLmMmrPM8EMDa1H8xrynhxbc4m6TA5mK4xjjiE6dtrv41Xho0g97DJiXjWQ__vwy9Wk_Qo9rrLXLfLgQnDlXP4lwvqT9vU3quq52Lji66lxERetKHvKucqNdyU3bjmuGjXLVr6QPacnv7uWz7voV5dTt94ASpwgHg87_l1CXtFKx3kQU49vo.nnuBF5fXnzoD9sZeaRI8GYsdq8pJO_hbZhCisXacJfk&dib_tag=se&keywords=force+sensitive+resistor&qid=1763860713&sr=8-9
DaierTek DPST KCD4 Rocker Switch 40A,Power switch,3,$6.31,1,https://www.amazon.com/DaierTek-Rocker-Switch-Position-Toggle/dp/B09YCG3NM1/ref=sr_1_19?crid=1Y0HALPEDCNZM&dib=eyJ2IjoiMSJ9.TvjGYF49e31Tm9GtmRF59g-XeOk26R3AqbfAkGS9a6nh3GSDf_Ft0auR-MGWww9d_8qV_WtpHkCor2Dahc7VQaZRE6OvlJdQnY0rPvsxTbTyFdDM6pbBqk0EDrvadr4P8lH6-ObomSvFAuKzL5ph19hqaEiHsAPRMyhdhlHR7VPAv_c8YxHSI3qFngOBk2egbe3pj-hHc5UJMOxEo1B0uKQZTQwy0sXAYDLLMKO68SzQungwnpPqt2aiLgFpl_rIoB7vvPntINAd8VoKjSTNlltYCwtq7U2Y10VBU11Ra0s.PrH4EgX5_Mr3VKjQs79RvsuQn41p4icK6EZZyik7wuI&dib_tag=se&keywords=30+amp+power+switch&qid=1759954658&s=industrial&sprefix=30+amp+power+switch%2Cindustrial%2C78&sr=1-19
30Amp 300V 2x12 Position Terminal Block,Terminal block,2,$13.99,1,https://www.amazon.com/OONO-Position-Terminal-Distribution-Module/dp/B0F23ZVMNC/ref=pd_ci_mcx_di_int_sccai_cn_d_sccl_1_2/140-7276273-8335241?pd_rd_w=Uiq67&content-id=amzn1.sym.751acc83-5c05-42d0-a15e-303622651e1e&pf_rd_p=751acc83-5c05-42d0-a15e-303622651e1e&pf_rd_r=F70RY7NM33EK7RJHQNKY&pd_rd_wg=NzjTn&pd_rd_r=844dd7ad-f364-48aa-b0e6-88a34692544f&pd_rd_i=B08TBXQ7H6&th=1
Szwengao 12V/24V to 6V DC DC Converter 40A,Buck converter,1,$15.00,1,https://www.alibaba.com/product-detail/Szwengao-12V-24V-to-6V-DC_1601193766641.html?utm_source=chatgpt.com
Donepart 625-2RS Ball Bearings,Ball bearing,10,$7.99,1,https://www.amazon.com/Donepart-625-2RS-Bearings-5x16x5mm-Pre-Lubricated/dp/B07X8PK5HW/ref=sr_1_7_sspa?crid=O3CACO2FLJZN&dib=eyJ2IjoiMSJ9.qSDWLuUG4RM0AgA10amN7HvrskdtqlcSoSyM7NtdlxahE_iDUJAtzmDokepMtxqql3mqdXqUoTzA6aXzo0hGWAiUVMiJQk5Y6QfdgYrvN74eZFkJNNMh8J77SgXaxoULSvW8jKfsfSFy-B-CiA2K8AZjenozeyqLg0tA8IADl66qTDfh2gzBrVuG7RIal36I3KS4rsX5VURdNUU07DhrmN_hbhZIeiqOwZvsEjvk4zNI02oGktYdKZc6ppx07Pg8m0hXhqCTlEVKWAl8xAO4Lf8Dj2YPb1DmIBd8yYNKl0E.m3eu4aOemLbUpQRqkqI5NYFKVw_YLfxr5GTiwYsko8Y&dib_tag=se&keywords=small%2Bball%2Bbearing&qid=1762461885&s=industrial&sprefix=small%2Bball%2Bbearing%2Cindustrial%2C69&sr=1-7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1
6 Gauge Wire,Wire for distributing high current servo power,5 ft,$19.99,1,https://www.amazon.com/Conductors-Stranded-Voltage-Automotive-Lighting/dp/B0F6L7RRXY/ref=sr_1_2_sspa?crid=1AM91U6JAZKJD&dib=eyJ2IjoiMSJ9.EwtCiAWpkJ2YqPE_dL3r04d3rPtd9IxYHExkKmnaAMceaXOM0ERst-mmybS7Q7mEXC5LO7VHPEwjDWqw6FFmksqYxvcxxb6N8Hu11RlU3rC5ewpu3ljnlM6BvqXb8W_ngEYIUgoGk7zaxddQsGSxmigMqeQc7XyW7jgu9sSF3EX7Hghmd8wCk8ZcxzpGtb_HdzztwpUj8lgMpQAUcpCT01RJie7fCRwf7CmbFuIimDG7HWp0NyW8Qfp6IR665kZ-B2u8xaNrXLeq-b-5TAOBb86lwmaaWeKC2LE-sHd4Quc.G6gfqATqOlDXTqiwCR8cRLnoqbSa22M1pxbpG_3SfDU&dib_tag=se&keywords=awg%2B6%2Bwire&qid=1764349321&sprefix=AWG%2B6%2Caps%2C149&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
12 Gauge Wire,Wire for distributing low current power,25 ft,$23.99,1,https://www.amazon.com/Conductors-Stranded-Voltage-Automotive-Lighting/dp/B0DGL723WB/ref=sr_1_2_sspa?crid=1AM91U6JAZKJD&dib=eyJ2IjoiMSJ9.EwtCiAWpkJ2YqPE_dL3r04d3rPtd9IxYHExkKmnaAMceaXOM0ERst-mmybS7Q7mEXC5LO7VHPEwjDWqw6FFmksqYxvcxxb6N8Hu11RlU3rC5ewpu3ljnlM6BvqXb8W_ngEYIUgoGk7zaxddQsGSxmigMqeQc7XyW7jgu9sSF3EX7Hghmd8wCk8ZcxzpGtb_HdzztwpUj8lgMpQAUcpCT01RJie7fCRwf7CmbFuIimDG7HWp0NyW8Qfp6IR665kZ-B2u8xaNrXLeq-b-5TAOBb86lwmaaWeKC2LE-sHd4Quc.G6gfqATqOlDXTqiwCR8cRLnoqbSa22M1pxbpG_3SfDU&dib_tag=se&keywords=awg%2B6%2Bwire&qid=1764349321&sprefix=AWG%2B6%2Caps%2C149&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
BOJACK 10 Values 300 Pcs Ceramic Capacitor,Servo capacitors,300,$9.99,1,https://www.amazon.com/BOJACK-Capacitor-Multilayer-Monolithic-Assortment/dp/B085RDTCCV/ref=sr_1_1_sspa?crid=10W7PVEL2GEMO&dib=eyJ2IjoiMSJ9.7WzmrU6FnNnBXP9FtTFerMIJI70wH-FUQqi01tTrgXGISnl1xuaidSeXBh48yw0EzQMEA6FS1CR-BRUFauwuuaPyA28gPg2UMm3IPyU_QFO8j_HJeZaBdbeW-pLRUs1FRhqs1mxO6YHVNYFp9UwsD_QQFrhpBjaIpVI5Xed_sD4sCvMkWYaWPdVmJewvSzBlDsJxG2LS1Rd3T9i7R2k-feA7H8ltUAGO3WqneCqmw9u3t823qs_jLzB0_gZ5fO0518REHCAk3dA4xQbXo3jYt2JQrekQV-19sHVfnqoRjSA.1CL7s9ezIsdHAx6Lqrc2jDGp4StWwFej2Ec7X6robpQ&dib_tag=se&keywords=0.1%2B%C2%B5F%2BCeramic%2BCapacitors&qid=1759950785&s=industrial&sprefix=0.1%2B%C2%B5f%2Bceramic%2Bcapacitors%2Cindustrial%2C85&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
MCIGICM 12 AWG Inline Fuse Holder,Inline fuse holder,5,$7.59,1,https://www.amazon.com/MCIGICM-Inline-Fuse-Holder-Blade/dp/B081DHT8Y7/ref=sr_1_1_sspa?crid=4WOBQO3X3ABA&dib=eyJ2IjoiMSJ9.bDt9F83PMb0eaW6tLcBxeYDzjeKt9CnvcEwBzjQvSrG9nh0cFtEEbyaHZxtdLMUflMage3KBPxU0rzWWxhrzKOGA4o_5DhlxslRxmkAs2TO-YwJcpKxEcZb2qZT1oq8PeK2e0lWGj9Z5Bs7wftZ8GORy23guDQ4cxZUzqWACBzqFuUTeUZFO9qtDp6i2I6r7JoTjRaKcohTYaJobziXMRgNIgqt-AUEsmeUAoZ6S1GKPX6KUsKqZS9NYkNJ10J84DpZvJNgIX1qUqp6gL0lMwn7urLHQuZNOwHJnx7en4co.LCJU6MzCcZAd-3CJLt-Llj5sX-ixKj_jq3Jm6MBz3RQ&dib_tag=se&keywords=30+amp+inline+fuse&qid=1764352361&s=industrial&sprefix=30+amp+inline+fuse%2Cindustrial%2C67&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Rubber Feet Isolators,Silicon bumpers,16,$9.95,1,https://www.amazon.com/Sound-Addicted-Medium-Sized-Electronics-Hemisphere/dp/B0CB1BGFCQ/ref=sr_1_6?crid=9GITLTSBBGGN&dib=eyJ2IjoiMSJ9.rxKV-B3q4274hIAIpjBNraxVv1ormL3c2Af0hfN1Ln9gyLQKNt-FpSM-O6ytaMh1A-vMZptO_WagdNJ1Hc_svy6Ogz4DA853old1c006ujt3DoISL5sRUJ16-YH3e3Wtm9I3mGyFJm7SUYxrdgfltjrtr2qcwl5QRYmdLR0uKX-XvL5Oxq_C3LpeGNB-qGAwFTQZcWMm2RmkBSldTu9g2tEHVai8RoNANtsx_7TLuS6tHRDgGuY7RpVuJRBBJN3FSdbRPsCpoo-rnlOdBv0TUWUmO8BMGuymImvNYXuszxs.Xb-4keHHo3XtsXSwNpGT5S7vWPWTALZJEmbIk3t1k2k&dib_tag=se&keywords=silicone%2Bbumper%2Bpads%2Bhemisphere&qid=1762444269&sprefix=silicone%2Bbumper%2Bpads%2Bhemispherical%2Caps%2C178&sr=8-6&th=1
ELEGOO 120pcs Multicolored Dupont Wire,Wires for FSR and servo logic,120,$5.58,1,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78/ref=sr_1_1_sspa?crid=JN7KWSCGAPZP&dib=eyJ2IjoiMSJ9.I3nSspk5onl8Jong0G-0EaUV8k3yvkfNxu9EofYJ661tc8hPBdU_dpDeBedR2RClx5eBC6laGOf8MfqECqoWdrGdXKP2OGjrHRXwdoGDyQXhjmyytla-cWgS2HBf5sGUppMi37tJn-m6uoGLapI7Nq4jwJ8kdY29bxu2iWrZCBwBzOhKPYyW0pX3LaHHA-n9TQ2MexYcWZeigm6wzP48CSWQyNXAiU72PppdugObMyI.Oc1n37851C-Vj7zNc5PxTGLE1Wv6DwYTPDEhatyyi88&dib_tag=se&keywords=jumper+wires&qid=1764454349&sprefix=jumper+wire%2Caps%2C121&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Raspberry Pi 5,Microcomputer,1,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TOTAL COST,$400.07,,,,